time,rip_strength,scale_factor
3.570000,0.000177,386855907423064320.000000
3.580000,0.000168,386906100265708288.000000
3.590000,0.000160,386955060115745536.000000
3.600000,0.000152,387002817110684864.000000
3.610000,0.000145,387049400658766912.000000
3.620000,0.000138,387094839456250816.000000
3.630000,0.000131,387139161504308160.000000
3.640000,0.000125,387182394125533568.000000
3.650000,0.000119,387224563980079104.000000
3.660000,0.000113,387265697081419904.000000
3.670000,0.000107,387305818811759488.000000
3.680000,0.000102,387344953937081728.000000
3.690000,0.000097,387383126621857280.000000
3.700000,0.000092,387420360443411072.000000
3.710000,0.000088,387456678405958848.000000
3.720000,0.000084,387492102954319616.000000
3.730000,0.000080,387526655987310208.000000
3.740000,0.000076,387560358870829888.000000
3.750000,0.000072,387593232450640640.000000
3.760000,0.000068,387625297064850560.000000
3.770000,0.000065,387656572556106240.000000
3.780000,0.000062,387687078283500928.000000
3.790000,0.000059,387716833134203968.000000
3.800000,0.000056,387745855534818688.000000
3.810000,0.000053,387774163462473664.000000
3.820000,0.000051,387801774455654016.000000
3.830000,0.000048,387828705624778112.000000
3.840000,0.000046,387854973662525440.000000
3.850000,0.000044,387880594853921024.000000
3.860000,0.000042,387905585086182400.000000
3.870000,0.000039,387929959858333696.000000
3.880000,0.000038,387953734290592384.000000
3.890000,0.000036,387976923133534336.000000
3.900000,0.000034,387999540777041344.000000
3.910000,0.000032,388021601259036288.000000
3.920000,0.000031,388043118274011264.000000
3.930000,0.000029,388064105181352960.000000
3.940000,0.000028,388084575013469760.000000
3.950000,0.000026,388104540483725248.000000
3.960000,0.000025,388124013994183104.000000
3.970000,0.000024,388143007643166720.000000
3.980000,0.000023,388161533232638400.000000
3.990000,0.000022,388179602275402496.000000
4.000000,0.000021,388197226002136000.000000
4.010000,0.000020,388214415368250624.000000
4.020000,0.000019,388231181060591232.000000
4.030000,0.000018,388247533503972672.000000
4.040000,0.000017,388263482867560512.000000
4.050000,0.000016,388279039071098304.000000
4.060000,0.000015,388294211790985280.000000
4.070000,0.000015,388309010466207872.000000
4.080000,0.000014,388323444304128384.000000
4.090000,0.000013,388337522286134400.000000
4.100000,0.000013,388351253173152384.000000
4.110000,0.000012,388364645511027776.000000
4.120000,0.000011,388377707635775680.000000
4.130000,0.000011,388390447678704768.000000
4.140000,0.000010,388402873571417472.000000
4.150000,0.000010,388414993050689152.000000
